Institution Name,Has Resource(s),Has Project(s),IPEDS
Universidad Autonoma del Caribe,TRUE,FALSE,
Universidad Catolica de Colombia,TRUE,FALSE,
Universidad Industrial de Santander,TRUE,FALSE,
Universidad Pontificia Bolivariana,TRUE,FALSE,
Universidad Tecnologica de Bolivar,TRUE,FALSE,
Universidad de Caldas,TRUE,FALSE,
Universidad de Medellin,TRUE,FALSE,
"Universidad de Puerto Rico, Rio Piedras Campus (UPRRP)",FALSE,TRUE,
Universidad de los Andes,TRUE,FALSE,
Universidad del Valle,TRUE,FALSE,
Universidade Estadual Paulista,TRUE,FALSE,
Universidade de Sao Paulo,TRUE,FALSE,
Universidade de São Paulo - Laboratório de Computação Científica Avançada,TRUE,FALSE,
Universidade do Estado do Rio de Janeiro,TRUE,FALSE,
Universite catholique de Louvain,TRUE,FALSE,
University of Alabama,TRUE,TRUE,
University of Alabama at Birmingham,TRUE,FALSE,
University of Alaska Fairbanks,FALSE,TRUE,
University of Albany,FALSE,TRUE,
University of Amsterdam,TRUE,FALSE,
University of Arizona,TRUE,TRUE,
University of Arkansas,TRUE,TRUE,
University of Arkansas at Little Rock,TRUE,TRUE,
University of Bern,TRUE,FALSE,
University of Birmingham,TRUE,FALSE,
University of Buffalo,TRUE,FALSE,
University of California Davis,TRUE,FALSE,
University of California Los Angeles,TRUE,FALSE,
University of California Riverside,TRUE,FALSE,
University of California San Diego,TRUE,FALSE,
University of California Santa Cruz,TRUE,TRUE,
"University of California, Berkeley",FALSE,TRUE,
"University of California, Davis",FALSE,TRUE,
"University of California, Irvine",FALSE,TRUE,
"University of California, Los Angeles",FALSE,TRUE,
"University of California, Merced",FALSE,TRUE,
"University of California, Riverside",FALSE,TRUE,
"University of California, San Diego",FALSE,TRUE,
"University of California, San Francisco",FALSE,TRUE,
"University of California, Santa Barbara",FALSE,TRUE,
"University of California, Santa Cruz",FALSE,TRUE,
University of Campinas,TRUE,FALSE,
University of Central Florida,FALSE,TRUE,
University of Chicago,TRUE,TRUE,
University of Cincinnati,FALSE,TRUE,
University of Colorado,TRUE,TRUE,
University of Colorado Anschutz Medical Campus,FALSE,TRUE,
University of Colorado Boulder,FALSE,TRUE,
University of Colorado Denver,TRUE,TRUE,
University of Connecticut,TRUE,TRUE,
University of Connecticut Health Center,TRUE,TRUE,
University of Delaware,FALSE,TRUE,
University of Edinburgh,TRUE,TRUE,
University of Florida,TRUE,TRUE,
University of Georgia,TRUE,FALSE,
University of Guam,FALSE,TRUE,
University of Hawaii,TRUE,TRUE,
University of Hawaii at Manoa,FALSE,TRUE,
University of Illinois,FALSE,TRUE,
University of Illinois Chicago,TRUE,TRUE,
University of Illinois Urbana-Champaign,FALSE,TRUE,
University of Illinois at Urbana Champaign,TRUE,FALSE,
University of Iowa,TRUE,TRUE,
University of Johannesburg,TRUE,FALSE,
University of Kentucky,FALSE,TRUE,
University of Louisville,FALSE,TRUE,
University of Macau,FALSE,TRUE,
University of Maine,TRUE,TRUE,
University of Maryland,TRUE,TRUE,
University of Maryland Baltimore,FALSE,TRUE,
University of Maryland Center for Environmental Science,FALSE,TRUE,
University of Massachusetts,FALSE,TRUE,
University of Massachusetts - Amherst,TRUE,FALSE,
University of Massachusetts Amherst,FALSE,TRUE,
University of Massachusetts Boston,FALSE,TRUE,
University of Massachusetts Lowell,FALSE,TRUE,
University of Michigan,TRUE,TRUE,
University of Minnesota,TRUE,TRUE,
University of Minnesota Duluth,FALSE,TRUE,
University of Mississipi,FALSE,TRUE,
University of Mississippi,TRUE,TRUE,
University of Missouri,FALSE,TRUE,
University of Missouri-Columbia,FALSE,TRUE,
University of Montana,FALSE,TRUE,
University of Nebraska,TRUE,TRUE,
University of Nebraska - Lincoln,FALSE,TRUE,
University of Nebraska Medical Center,FALSE,TRUE,
University of Nebraska Omaha,FALSE,TRUE,
University of Nebraska-Lincoln,FALSE,TRUE,
"University of Nevada, Reno",FALSE,TRUE,
University of New England,FALSE,TRUE,
University of New Haven,FALSE,TRUE,
University of New Mexico,TRUE,TRUE,
University of North Carolina,TRUE,FALSE,
University of North Carolina at Chapel Hill,FALSE,TRUE,
