,Institution Name,Has Resource(s),Has Project(s),IPEDS,unitid,name
248,The University of Alabama at Birmingham,False,True,,,
249,The University of Chicago,False,True,,,
250,The University of Kansas,False,True,,,
251,Thomas Jefferson National Accelerator Facility,True,False,,,
252,Toyota Technological Institute at Chicago,False,True,,445054.0,Toyota Technological Institute at Chicago
253,Tufts University,True,True,,168148.0,Tufts University
254,UC Irvine,True,False,,,
255,UC Santa Barbara,True,False,,,
256,UCSB,True,False,,,
257,UMSNH,True,False,,,
258,UNC Chapel Hill,False,True,,,
259,US ATLAS,False,True,,,
260,USDA Agricultural Research Service,False,True,,,
261,UT Southwestern,False,True,,,
262,Universidad Autonoma de Manizales,True,False,,,
263,Universidad Autonoma del Caribe,True,False,,,
264,Universidad Catolica de Colombia,True,False,,,
265,Universidad Industrial de Santander,True,False,,,
266,Universidad Pontificia Bolivariana,True,False,,,
267,Universidad Tecnologica de Bolivar,True,False,,,
268,Universidad de Caldas,True,False,,,
269,Universidad de Medellin,True,False,,,
270,"Universidad de Puerto Rico, Rio Piedras Campus (UPRRP)",False,True,,,
271,Universidad de los Andes,True,False,,,
272,Universidad del Valle,True,False,,,
273,Universidade Estadual Paulista,True,False,,,
274,Universidade de Sao Paulo,True,False,,,
275,Universidade de São Paulo - Laboratório de Computação Científica Avançada,True,False,,,
276,Universidade do Estado do Rio de Janeiro,True,False,,,
277,Universite catholique de Louvain,True,False,,,
278,University of Alabama,True,True,,,
279,University of Alabama at Birmingham,True,False,,100663.0,University of Alabama at Birmingham
280,University of Alaska Fairbanks,False,True,,102614.0,University of Alaska Fairbanks
281,University of Albany,False,True,,,
282,University of Amsterdam,True,False,,,
283,University of Arizona,True,True,,104179.0,University of Arizona
284,University of Arkansas,True,True,,106397.0,University of Arkansas
285,University of Arkansas at Little Rock,True,True,,106245.0,University of Arkansas at Little Rock
286,University of Bern,True,False,,,
287,University of Birmingham,True,False,,,
288,University of Buffalo,True,False,,,
289,University of California Davis,True,False,,,
290,University of California Los Angeles,True,False,,,
291,University of California Riverside,True,False,,,
292,University of California San Diego,True,False,,,
293,University of California Santa Cruz,True,True,,,
294,"University of California, Berkeley",False,True,,,
295,"University of California, Davis",False,True,,,
296,"University of California, Irvine",False,True,,,
297,"University of California, Los Angeles",False,True,,,
298,"University of California, Merced",False,True,,,
299,"University of California, Riverside",False,True,,,
300,"University of California, San Diego",False,True,,,
301,"University of California, San Francisco",False,True,,,
302,"University of California, Santa Barbara",False,True,,,
303,"University of California, Santa Cruz",False,True,,,
304,University of Campinas,True,False,,,
305,University of Central Florida,False,True,,132903.0,University of Central Florida
306,University of Chicago,True,True,,144050.0,University of Chicago
307,University of Cincinnati,False,True,,,
308,University of Colorado,True,True,,,
309,University of Colorado Anschutz Medical Campus,False,True,,,
310,University of Colorado Boulder,False,True,,126614.0,University of Colorado Boulder
311,University of Colorado Denver,True,True,,,
312,University of Connecticut,True,True,,129020.0,University of Connecticut
313,University of Connecticut Health Center,True,True,,,
314,University of Delaware,False,True,,130943.0,University of Delaware
315,University of Edinburgh,True,True,,,
316,University of Florida,True,True,,134130.0,University of Florida
317,University of Georgia,True,False,,139959.0,University of Georgia
318,University of Guam,False,True,,240754.0,University of Guam
319,University of Hawaii,True,True,,,
320,University of Hawaii at Manoa,False,True,,141574.0,University of Hawaii at Manoa
321,University of Illinois,False,True,,,
322,University of Illinois Chicago,True,True,,145600.0,University of Illinois Chicago
323,University of Illinois Urbana-Champaign,False,True,,145637.0,University of Illinois Urbana-Champaign
324,University of Illinois at Urbana Champaign,True,False,,,
325,University of Iowa,True,True,,153658.0,University of Iowa
326,University of Johannesburg,True,False,,,
327,University of Kentucky,False,True,,157085.0,University of Kentucky
328,University of Louisville,False,True,,157289.0,University of Louisville
329,University of Macau,False,True,,,
330,University of Maine,True,True,,161253.0,University of Maine
331,University of Maryland,True,True,,,
332,University of Maryland Baltimore,False,True,,,
333,University of Maryland Center for Environmental Science,False,True,,,
334,University of Massachusetts,False,True,,,
335,University of Massachusetts - Amherst,True,False,,,
336,University of Massachusetts Amherst,False,True,,,
337,University of Massachusetts Boston,False,True,,,
338,University of Massachusetts Lowell,False,True,,,
339,University of Michigan,True,True,,,
340,University of Minnesota,True,True,,,
341,University of Minnesota Duluth,False,True,,,
342,University of Mississipi,False,True,,,
343,University of Mississippi,True,True,,176017.0,University of Mississippi
344,University of Missouri,False,True,,,
345,University of Missouri-Columbia,False,True,,178396.0,University of Missouri-Columbia
346,University of Montana,False,True,,,
347,University of Nebraska,True,True,,,
348,University of Nebraska - Lincoln,False,True,,,
349,University of Nebraska Medical Center,False,True,,181428.0,University of Nebraska Medical Center
350,University of Nebraska Omaha,False,True,,,
351,University of Nebraska-Lincoln,False,True,,181464.0,University of Nebraska-Lincoln
352,"University of Nevada, Reno",False,True,,,
353,University of New England,False,True,,161457.0,University of New England
354,University of New Haven,False,True,,129941.0,University of New Haven
355,University of New Mexico,True,True,,,
356,University of North Carolina,True,False,,,
357,University of North Carolina at Chapel Hill,False,True,,199120.0,University of North Carolina at Chapel Hill
358,"University of North Carolina, Chapel Hill",False,True,,,
359,University of North Dakota,False,True,,200280.0,University of North Dakota
360,University of Northern Iowa,True,False,,154095.0,University of Northern Iowa
361,University of Notre Dame,True,True,,152080.0,University of Notre Dame
362,University of Oklahoma,True,True,,,
363,University of Oregon,False,True,,209551.0,University of Oregon
364,University of Oxford,False,True,,,
365,University of Pennsylvania,True,True,,215062.0,University of Pennsylvania
366,University of Pittsburgh,True,True,,,
367,University of Puerto Rico,False,True,,,
368,University of Puerto Rico - Mayaguez,True,True,,,
369,University of Rochester,False,True,,195030.0,University of Rochester
370,University of Sheffield,False,True,,,
371,University of South Carolina,False,True,,,
372,University of South Dakota,True,True,,219471.0,University of South Dakota
373,University of South Florida,True,True,,137351.0,University of South Florida
374,University of Southern California,True,True,,123961.0,University of Southern California
375,University of Tennessee,False,True,,,
376,University of Tennessee Chattanooga,True,False,,,
377,University of Tennessee at Chattanooga,False,True,,,
378,"University of Tennessee, Knoxville",False,True,,,
379,University of Texas Arlington,True,False,,,
380,University of Texas Southwestern Medical Center,False,True,,228635.0,University of Texas Southwestern Medical Center
381,University of Texas at Arlington,False,True,,,
382,University of Texas at Austin,True,True,,,
383,University of Texas at Dallas,True,True,,,
384,University of Texas at El Paso,False,True,,,
385,University of Toledo,False,True,,206084.0,University of Toledo
386,University of Tulsa,False,True,,207971.0,University of Tulsa
387,University of Utah,True,True,,230764.0,University of Utah
388,University of Venda,False,True,,,
389,University of Vermont,False,True,,231174.0,University of Vermont
390,University of Virginia,True,True,,,
391,University of Washington,True,True,,,
392,University of Wisconsin,True,False,,,
393,University of Wisconsin Milwaukee,True,False,,,
394,University of Wisconsin-Madison,False,True,,240444.0,University of Wisconsin-Madison
395,University of Wisconsin-Milwaukee,False,True,,240453.0,University of Wisconsin-Milwaukee
396,University of Wyoming,False,True,,240727.0,University of Wyoming
397,Utah State University,False,True,,230728.0,Utah State University
398,Utrecht University,False,True,,,
399,Vanderbilt University,True,True,,221999.0,Vanderbilt University
400,Villanova University,True,True,,216597.0,Villanova University
401,Virginia Tech,True,False,,,
402,Virginia Tech University,False,True,,,
403,Washington State University,False,True,,236939.0,Washington State University
404,Washington University in St. Louis,False,True,,,
405,Wayne State University,True,True,,172644.0,Wayne State University
406,Wesleyan University,False,True,,130697.0,Wesleyan University
407,West Chester University of Pennsylvania,False,True,,216764.0,West Chester University of Pennsylvania
408,West Texas A&M University,True,False,,,
409,Western Washington University,False,True,,237011.0,Western Washington University
410,Wichita State University,False,True,,156125.0,Wichita State University
411,Worcester Polytechnic Institute,False,True,,168421.0,Worcester Polytechnic Institute
412,Wright State Research Institute,False,True,,,
413,Yale University,False,True,,130794.0,Yale University
